100
 Atoms. Timestep: 340
X 6.47903 5.0707 0.237495
X 9.74916 8.19067 2.18992
X 4.54423 8.36034 5.68662
X 0.256528 7.62661 1.34918
X 8.82444 8.82228 1.79442
X 5.1741 7.72322 6.32691
X 0.243415 7.68508 6.31225
X 5.32199 8.80211 6.39276
X 4.47015 8.23085 6.85363
X 4.99512 9.17737 7.34623
X 5.44191 8.1721 7.24997
X 0.587337 7.46281 0.242157
X 8.8482 9.54871 9.95456
X 6.58026 4.14121 9.62668
100
 Atoms. Timestep: 360
X 0.0748586 0.479967 1.25369
X 3.71389 2.58016 1.31545
X 4.27616 2.65164 2.41553
X 9.84566 9.96439 0.216594
X 3.22769 4.24447 2.40416
X 0.399587 9.40693 0.980527
X 4.04561 3.60844 1.69262
X 2.29926 3.64032 2.32677
X 0.87368 0.327423 0.561844
X 1.13034 4.22524 3.7038
X 2.50504 2.68014 2.9351
X 3.46274 8.12396 5.30257
X 3.76758 9.17238 5.33296
X 3.05051 3.643 3.22624
X 1.51177 2.93437 2.48411
X 3.53366 2.63493 3.21578
X 1.92648 3.487 3.39177
X 1.29698 3.95627 2.69269
X 3.27704 3.15162 2.26252
X 1.54126 3.14356 6.79528
X 3.77074 3.47657 3.97677
X 3.79632 9.13613 7.22209
X 2.13223 9.50423 6.38187
X 2.00797 2.70154 7.83423
X 2.70018 3.23005 7.1665
X 3.29598 9.56402 6.32694
X 2.2391 2.24321 6.91116
X 4.67214 2.80865 1.27845
X 1.6193 3.35828 8.69849
X 4.71573 3.18264 9.772
X 1.00174 3.3394 7.85437
X 1.85479 3.78598 7.73132
X 4.0814 3.47937 0.670605
X 4.23398 2.46385 0.356349
X 0.614398 8.47069 0.636974
X 9.59039 7.86092 0.415197
X 0.309442 8.39812 9.5602
X 9.69399 8.53505 1.15425
X 9.78158 8.99299 0.269694
X 9.76628 9.38873 1.94058
X 2.91246 7.79088 6.32644
X 0.690089 8.61808 1.763
X 4.64293 4.10413 3.57048
X 3.61695 4.54069 3.34226
X 1.24348 7.84341 5.64375
X 4.44521 9.29321 6.42199
X 0.947196 6.94591 6.29286
X 3.67211 8.64818 6.2483
X 2.77257 8.8322 6.88134
X 2.72704 8.92909 5.71203
X 1.98402 7.29071 6.26026
X 1.21096 7.8562 6.77974
X 2.306 7.97856 5.3792
X 2.24001 7.83868 7.25796
X 2.03931 8.42196 6.20391
X 1.30802 7.75178 7.84265
X 3.6349 5.21459 9.33956
X 4.43722 8.34782 7.94249
X 0.699819 9.39838 9.90033
X 0.487507 7.32214 7.21423
X 1.64201 6.92 7.17364
X 5.17223 3.60317 0.734088
X 9.2409 9.53891 0.987969
X 0.53558 3.36387 2.15886
X 6.98157 3.63576 1.34373
X 5.37553 2.47227 0.484532
X 6.09119 3.1073 1.06628
X 7.0639 3.20443 0.266713
X 6.20175 4.23475 0.618122
X 6.36959 2.42273 0.196946
X 3.99578 3.63247 2.85758
X 6.56359 1.86419 4.71052
X 7.60623 1.55164 4.81725
X 0.861788 3.24867 3.31816
X 7.40148 2.46302 4.09723
X 7.34567 4.37857 0.454889
X 0.482296 0.353418 9.48217
X 5.75798 3.35762 9.96126
X 9.40198 0.598707 9.44679
X 0.0847435 1.01405 0.170232
X 5.54585 2.45781 9.44783
X 9.87859 9.52879 9.21728
X 8.795 8.61213 0.72593
X 7.45683 5.28449 0.638835
X 9.08889 7.77506 1.33532
X 6.74019 4.84969 1.26521
X 6.46527 5.06668 0.241195
X 9.75044 8.16847 2.18075
X 4.54413 8.32919 5.67169
X 0.272042 7.6109 1.37387
X 8.79983 8.82221 1.79399
X 5.14356 7.74059 6.35079
X 0.242599 7.66382 6.32645
X 5.28891 8.81143 6.39935
X 4.4593 8.19634 6.86966
X 5.0314 9.17496 7.36028
X 5.44553 8.17367 7.20011
X 0.58267 7.49102 0.245118
X 8.82619 9.52041 9.94523
X 6.57729 4.14348 9.63213
100
 Atoms. Timestep: 370
X 0.108216 0.508119 1.24755
X 3.73184 2.5415 1.31259
X 4.29032 2.65214 2.4593
X 9.83996 9.95174 0.198798
X 3.20599 4.25773 2.44074
X 0.394739 9.39844 0.970369
X 4.02717 3.59764 1.67312
X 2.30004 3.63471 2.32313
X 0.874942 0.331622 0.572172
X 1.12035 4.22275 3.70854
X 2.50867 2.687 2.94866
X 3.45831 8.13107 5.28838
X 3.75887 9.15628 5.30189
X 3.0755 3.65366 3.23697
X 1.51759 2.94679 2.48261
X 3.51939 2.62113 3.21914
X 1.93481 3.49333 3.39953
X 1.30438 3.94203 2.72358
X 3.28977 3.16637 2.27223
X 1.53363 3.12782 6.77321
X 3.75621 3.46013 3.99884
X 3.78807 9.1529 7.21117
X 2.11347 9.49382 6.38455
X 2.03069 2.68683 7.84051
X 2.71973 3.21432 7.18055
X 3.2917 9.54302 6.3101
X 2.24846 2.22975 6.93828
X 4.64005 2.79662 1.25423
X 1.61701 3.34729 8.70983
X 4.69806 3.17526 9.75898
X 1.02151 3.37535 7.87965
X 1.84561 3.75895 7.74729
X 4.07484 3.48176 0.674686
X 4.23043 2.48457 0.334528
X 0.604904 8.48188 0.645857
X 9.58048 7.8513 0.423941
X 0.302984 8.42647 9.55907
X 9.67598 8.50698 1.1369
